what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1439441581426
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1439441581442
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1439441581442
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1439441581442
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1439441581442
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1439441581442
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1439441581442
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1439441581442
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1439441581442
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1439441581442
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1439441581442
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1439441581442
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1439441581442
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1439441581442
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1439441581442
os,sysinfo,,,"win32",1439441581442
arch,sysinfo,,,"x86_64",1439441581442
ws,sysinfo,,,"win32",1439441581442
locale,sysinfo,,,"en_IN",1439441581442
processors,sysinfo,,,"4",1439441581442
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1439441581442
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1439441581442
java.specification.name,sysinfo,,,"Java Platform API Specification",1439441581442
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1439441581442
java.specification.version,sysinfo,,,"1.6",1439441581442
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1439441581442
java.version,sysinfo,,,"1.6.0_45",1439441581442
java.vm.info,sysinfo,,,"mixed mode",1439441581442
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1439441581442
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1439441581442
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1439441581442
java.vm.specification.version,sysinfo,,,"1.0",1439441581442
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1439441581442
java.vm.version,sysinfo,,,"20.45-b01",1439441581442
started,bundle,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites",1439441582390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439441582484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439441599850
executed,command,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites.commands.openExtractStringsWizard",1439441599850
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439441605603
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1439441605775
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1439441605775
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1439441605869
stopped,bundle,com.qualityeclipse.book,3.6.0.r36x201107210332,"com.qualityeclipse.book",1439441605869
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1439441605869
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1439441605869
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1439441605884
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1439441605884
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1439441605884
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1439441605884
stopped,bundle,org.eclipse.rap.ui.launch,1.3.2.20110216-1041,"org.eclipse.rap.ui.launch",1439441605884
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.6.1.r43x201309100026,"org.eclipse.wb.rcp.SWT_AWT",1439441605884
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.6.1.r43x201309100008,"org.eclipse.wb.rcp.databinding.emf",1439441605884
